[2023-03-09 21:01:23:496][Test worker] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.mapshot.api.MapShotApiApplicationTests], using SpringBootContextLoader
[2023-03-09 21:01:23:510][Test worker] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.mapshot.api.MapShotApiApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
[2023-03-09 21:01:23:512][Test worker] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.mapshot.api.MapShotApiApplicationTests]: MapShotApiApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
[2023-03-09 21:01:23:715][Test worker] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.mapshot.api.MapShotApiApplication for test class com.mapshot.api.MapShotApiApplicationTests
[2023-03-09 21:01:24:919][Test worker] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener]
[2023-03-09 21:01:24:954][Test worker] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@6d2d99fc, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@bdecc21, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@5e3a39cd, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@21f9277b, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@201aa8c1, org.springframework.test.context.support.DirtiesContextTestExecutionListener@5d58c727, org.springframework.test.context.transaction.TransactionalTestExecutionListener@52a36910, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@3a095ec0, org.springframework.test.context.event.EventPublishingTestExecutionListener@4f20a5e0, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@54da32dc, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@1d782abe, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@6df7988f, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@27b22f74, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@22fba58c, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@7e8a46b7]
[2023-03-09 21:01:24:1760][Test worker] INFO  c.m.api.MapShotApiApplicationTests - Starting MapShotApiApplicationTests using Java 11.0.14.1 on DESKTOP-1IEATUL with PID 8364 (started by THE-LEE in C:\Users\THE-LEE\Desktop\mapshot-api)
[2023-03-09 21:01:24:1762][Test worker] INFO  c.m.api.MapShotApiApplicationTests - No active profile set, falling back to 1 default profile: "default"
[2023-03-09 21:01:24:1798][background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.3.Final
[2023-03-09 21:01:26:3303][Test worker] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
[2023-03-09 21:01:26:3709][Test worker] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 380 ms. Found 1 JPA repository interfaces.
